F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S  1000       1       0  0  80   0 -   284 do_sig ?        00:00:00 docker-init
4 S  1000       7       1  0  80   0 -   700 sigsus ?        00:00:00 sh
5 S     0     157       1  0  80   0 -  3004 -      ?        00:00:00 sshd
4 S     0     336       1  0  80   0 - 492009 -     ?        00:00:00 dockerd
4 S     0     514     336  0  80   0 - 450360 -     ?        00:00:00 containerd
4 S  1000    1226       0  0  80   0 -   700 pipe_r ?        00:00:00 sh
4 S     0    1265       0  0  80   0 -   700 -      ?        00:00:00 sh
4 S  1000    1913       0  0  80   0 -   702 do_wai ?        00:00:00 sh
4 S  1000    1922    1913  0  80   0 - 2962482 ep_pol ?      00:00:04 node
4 S  1000    1951    1922  1  80   0 - 11027573 pipe_r ?     00:00:24 node
0 S  1000    1965    1922  0  80   0 - 315497 ep_pol ?       00:00:00 node
4 S  1000    2535    1922  0  80   0 - 284877 ep_pol ?       00:00:02 node
0 S  1000    2996    1951  0  80   0 - 295649 ep_pol ?       00:00:00 node
4 S  1000    3429       0  0  80   0 -   700 pipe_r ?        00:00:00 sh
4 S     0    3484       0  0  80   0 -   700 -      ?        00:00:00 sh
4 S  1000    3729    2535  0  80   0 -  3983 do_wai pts/2    00:00:00 bash
0 S  1000   14609    2535  0  80   0 -   701 do_wai ?        00:00:00 sh
4 S  1000   14610   14609  0  80   0 -  1936 do_wai ?        00:00:00 cpuUsage.sh
0 S  1000   14613   14610  0  80   0 -  1529 hrtime ?        00:00:00 sleep
4 S  1000   14614       7  0  80   0 -  1528 hrtime ?        00:00:00 sleep
4 S  1000   14620    3729  0  80   0 -  1770 pipe_r pts/2    00:00:00 grep
